,InstituteId,InstituteName,Institution,CourseName,Course,Location,City,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank,Category-1_min,Category-1_max,Category-2A_min,Category-2A_max,Category-2B_min,Category-2B_max,Category-3A_min,Category-3A_max,Category-3B_min,Category-3B_max,Category-GM_min,Category-GM_max,Category-SC_min,Category-SC_max,Category-ST_min,Category-ST_max
828,E139,Impact College of Engineering and Applied Sciences  Bangalore,Impact College of Engineering and Applied Sciences  Bangalore [E139],Civil Engineering,Civil Engineering [CE],"Sahakara Nagar, Bengaluru",Bengaluru,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833,E139,Impact College of Engineering and Applied Sciences  Bangalore,Impact College of Engineering and Applied Sciences  Bangalore [E139],Mechanical Engineering,Mechanical Engineering [ME],"Sahakara Nagar, Bengaluru",Bengaluru,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,E028,Tontadarya College of Engineering  Gadag,Tontadarya College of Engineering  Gadag [E028],Mechanical Engineering,Mechanical Engineering [ME],"Kalyan Nagar, Gadag",Gadag,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,E029,Maratha Mandal Engineering College  Belgaum,Maratha Mandal Engineering College  Belgaum [E029],Mechanical Engineering,Mechanical Engineering [ME],"Halbhavi Camp, Belgaum",Belgaum,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
732,E119,"K C T Engineering College  Roza(B),Gulbarga","K C T Engineering College  Roza(B),Gulbarga [E119]",Civil Engineering,Civil Engineering [CE],"Roza,Gulbarga",Gulbarga,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735,E119,"K C T Engineering College  Roza(B),Gulbarga","K C T Engineering College  Roza(B),Gulbarga [E119]",Mechanical Engineering,Mechanical Engineering [ME],"Roza,Gulbarga",Gulbarga,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
736,E120,Jnanavikasa Institute of Technology  Ramanagar-Dist,Jnanavikasa Institute of Technology  Ramanagar-Dist [E120],Civil Engineering,Civil Engineering [CE],Ramanagara,Ramanagara,CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
740,E120,Jnanavikasa Institute of Technology  Ramanagar-Dist,Jnanavikasa Institute of Technology  Ramanagar-Dist [E120],Mechanical Engineering,Mechanical Engineering [ME],Ramanagara,Ramanagara,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,E023,P E S College of Engineering  Mandya,P E S College of Engineering  Mandya [E023],Automobile  Engineering,Automobile  Engineering [AU],"PES Engineering College Rd, Mandya",Mandya,AU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,E023,P E S College of Engineering  Mandya,P E S College of Engineering  Mandya [E023],Industrial and Production Engineering,Industrial and Production Engineering [IP],"PES Engineering College Rd, Mandya",Mandya,IP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
