,InstituteId,Institution,Course
105,E011,M V J College of Engineering  Bangalore [E011],Electronics  Engineering(VLSI Design Technology) [EV]
103,E011,M V J College of Engineering  Bangalore [E011],Electronics and Communication Engineering [EC]
108,E011,M V J College of Engineering  Bangalore [E011],Industrial IOT [OT]
106,E011,M V J College of Engineering  Bangalore [E011],Information Science and Engineering [IE]
107,E011,M V J College of Engineering  Bangalore [E011],Mechanical Engineering [ME]
110,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Artificial Intelligence and Machine Learning [AI]
111,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Bio Technology [BT]
116,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]","CS-Internet of things,Cyber Security(Block Chain) [IC]"
112,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Civil Engineering [CE]
113,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Computers Science And Engineering [CS]
115,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Electrical And Electronics Engineering [EE]
114,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Electronics and Communication Engineering [EC]
117,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Information Science and Engineering [IE]
118,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Mechanical Engineering [ME]
119,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Telecommunication Engineering [TC]
120,E013,Ghousia Engineering College  Ramanagara [E013],Artificial Intelligence and Machine Learning [AI]
121,E013,Ghousia Engineering College  Ramanagara [E013],Civil Engineering [CE]
123,E013,Ghousia Engineering College  Ramanagara [E013],Computer Science Engineering-Cyber Security [CY]
122,E013,Ghousia Engineering College  Ramanagara [E013],Computers Science And Engineering [CS]
125,E013,Ghousia Engineering College  Ramanagara [E013],Electrical And Electronics Engineering [EE]
124,E013,Ghousia Engineering College  Ramanagara [E013],Electronics and Communication Engineering [EC]
126,E013,Ghousia Engineering College  Ramanagara [E013],Information Science and Engineering [IE]
127,E013,Ghousia Engineering College  Ramanagara [E013],Mechanical Engineering [ME]
138,E014,S J C Institute of Technology  Chickballapur [E014],Aero Space Engineering [SE]
129,E014,S J C Institute of Technology  Chickballapur [E014],Aeronautical Engineering [AE]
128,E014,S J C Institute of Technology  Chickballapur [E014],Artificial Intelligence And Data Science [AD]
133,E014,S J C Institute of Technology  Chickballapur [E014],Civil Engineering (Kannada Medium) [CK]
132,E014,S J C Institute of Technology  Chickballapur [E014],Civil Engineering [CE]
130,E014,S J C Institute of Technology  Chickballapur [E014],"Computer Science Engineering-AI, Machine Learning [CA]"
131,E014,S J C Institute of Technology  Chickballapur [E014],Computer Science and Design [CD]
134,E014,S J C Institute of Technology  Chickballapur [E014],Computers Science And Engineering [CS]
135,E014,S J C Institute of Technology  Chickballapur [E014],Electronics and Communication Engineering [EC]
136,E014,S J C Institute of Technology  Chickballapur [E014],Information Science and Engineering [IE]
137,E014,S J C Institute of Technology  Chickballapur [E014],Mechanical Engineering [ME]
140,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],Civil Engineering [CE]
139,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],"Computer Science Engineering-AI, Machine Learning [CA]"
141,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],Computers Science And Engineering [CS]
143,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],Electrical And Electronics Engineering [EE]
142,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],Electronics and Communication Engineering [EC]
144,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],Mechanical Engineering [ME]
145,E015,Dr.T.Thimmaiah Institute of Technology  BANGARAPET -TQ kolar District [E015],Mining Engineering [mn]
146,E016,Siddaganga Institute of Technology  Tumkur [E016],Artificial Intelligence And Data Science [AD]
147,E016,Siddaganga Institute of Technology  Tumkur [E016],Bio Technology [BT]
150,E016,Siddaganga Institute of Technology  Tumkur [E016],Chemical Engineering [CH]
149,E016,Siddaganga Institute of Technology  Tumkur [E016],Civil Engineering [CE]
148,E016,Siddaganga Institute of Technology  Tumkur [E016],"Computer Science Engineering-AI, Machine Learning [CA]"
151,E016,Siddaganga Institute of Technology  Tumkur [E016],Computers Science And Engineering [CS]
153,E016,Siddaganga Institute of Technology  Tumkur [E016],Electrical And Electronics Engineering [EE]
152,E016,Siddaganga Institute of Technology  Tumkur [E016],Electronics and Communication Engineering [EC]
154,E016,Siddaganga Institute of Technology  Tumkur [E016],Electronics and Instrumentation Engineering [EI]
155,E016,Siddaganga Institute of Technology  Tumkur [E016],Electronics and Telecommunication Engineering [ET]
