,InstituteId,InstituteName,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
50,E006, M S Ramaiah Institute of Technology  Bangalore,EI,-1,-1,-1,22943,-1,35713,23589,-1,-1,-1,-1,-1,16290,-1,-1,15240,51187,25515,81323,-1,-1,169347,-1,-1
51,E006, M S Ramaiah Institute of Technology  Bangalore,ET,22058,-1,-1,16337,-1,43661,-1,-1,-1,12765,-1,-1,10946,-1,-1,9677,33195,14431,64345,-1,-1,121985,-1,-1
52,E006, M S Ramaiah Institute of Technology  Bangalore,IE,4148,-1,6008,3804,7429,4459,7184,-1,-1,2797,-1,-1,2808,-1,4123,2634,4207,3260,18790,26006,31239,19085,-1,33804
53,E006, M S Ramaiah Institute of Technology  Bangalore,IM,85755,-1,-1,82595,-1,-1,-1,-1,-1,78574,-1,-1,74697,-1,-1,64430,-1,94382,117247,-1,159619,-1,-1,-1
54,E006, M S Ramaiah Institute of Technology  Bangalore,MD,-1,-1,-1,60193,-1,133856,-1,-1,-1,47164,-1,-1,81339,-1,-1,47014,-1,124267,157206,-1,-1,82571,-1,-1
55,E006, M S Ramaiah Institute of Technology  Bangalore,ME,37647,-1,-1,51094,-1,93829,-1,-1,-1,45048,-1,-1,43793,-1,80392,37472,65834,68283,105590,-1,120805,128516,-1,-1
56,E007, Dayananda Sagar College of Engineering  Bangalore,AE,38562,-1,70429,-1,90344,-1,35003,-1,-1,38631,-1,-1,34011,-1,-1,28059,80410,50036,45584,-1,-1,76734,-1,-1
57,E007, Dayananda Sagar College of Engineering  Bangalore,AI,6889,-1,17374,7868,-1,-1,10047,30777,26135,6671,-1,-1,-1,-1,-1,5840,-1,7724,30413,-1,-1,35218,-1,-1
58,E007, Dayananda Sagar College of Engineering  Bangalore,AU,-1,-1,-1,128320,-1,-1,-1,-1,-1,143590,-1,-1,140726,-1,-1,124730,-1,158482,189766,-1,-1,-1,-1,-1
59,E007, Dayananda Sagar College of Engineering  Bangalore,BT,66287,-1,-1,-1,-1,132114,-1,-1,-1,-1,-1,-1,-1,-1,-1,57443,200120,68621,70790,-1,157279,143352,-1,-1
60,E007, Dayananda Sagar College of Engineering  Bangalore,CB,10862,-1,-1,13860,-1,28801,17779,-1,-1,10659,71540,-1,11620,-1,23835,9901,-1,20499,44468,-1,-1,50544,-1,-1
