,InstituteId,InstituteName,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
47,E006, M S Ramaiah Institute of Technology  Bangalore,CY,5448,0,0,5286,0,7262,5571,12323,0,5487,0,0,6464,0,0,4810,0,6414,28789,0,31038,0,0,0
48,E006, M S Ramaiah Institute of Technology  Bangalore,EC,8547,0,0,9948,16698,11733,8311,0,0,6222,0,9126,6571,0,8561,5803,7271,7527,26082,37387,0,22235,0,45013
49,E006, M S Ramaiah Institute of Technology  Bangalore,EE,25889,0,0,20589,0,31458,0,0,0,0,30729,0,18398,0,0,13073,0,23840,57569,0,86282,51586,0,0
50,E006, M S Ramaiah Institute of Technology  Bangalore,EI,0,0,0,22943,0,35713,23589,0,0,0,0,0,16290,0,0,15240,51187,25515,81323,0,0,169347,0,0
51,E006, M S Ramaiah Institute of Technology  Bangalore,ET,22058,0,0,16337,0,43661,0,0,0,12765,0,0,10946,0,0,9677,33195,14431,64345,0,0,121985,0,0
52,E006, M S Ramaiah Institute of Technology  Bangalore,IE,4148,0,6008,3804,7429,4459,7184,0,0,2797,0,0,2808,0,4123,2634,4207,3260,18790,26006,31239,19085,0,33804
53,E006, M S Ramaiah Institute of Technology  Bangalore,IM,85755,0,0,82595,0,0,0,0,0,78574,0,0,74697,0,0,64430,0,94382,117247,0,159619,0,0,0
54,E006, M S Ramaiah Institute of Technology  Bangalore,MD,0,0,0,60193,0,133856,0,0,0,47164,0,0,81339,0,0,47014,0,124267,157206,0,0,82571,0,0
55,E006, M S Ramaiah Institute of Technology  Bangalore,ME,37647,0,0,51094,0,93829,0,0,0,45048,0,0,43793,0,80392,37472,65834,68283,105590,0,120805,128516,0,0
56,E007, Dayananda Sagar College of Engineering  Bangalore,AE,38562,0,70429,0,90344,0,35003,0,0,38631,0,0,34011,0,0,28059,80410,50036,45584,0,0,76734,0,0
57,E007, Dayananda Sagar College of Engineering  Bangalore,AI,6889,0,17374,7868,0,0,10047,30777,26135,6671,0,0,0,0,0,5840,0,7724,30413,0,0,35218,0,0
58,E007, Dayananda Sagar College of Engineering  Bangalore,AU,0,0,0,128320,0,0,0,0,0,143590,0,0,140726,0,0,124730,0,158482,189766,0,0,0,0,0
59,E007, Dayananda Sagar College of Engineering  Bangalore,BT,66287,0,0,0,0,132114,0,0,0,0,0,0,0,0,0,57443,200120,68621,70790,0,157279,143352,0,0
60,E007, Dayananda Sagar College of Engineering  Bangalore,CB,10862,0,0,13860,0,28801,17779,0,0,10659,71540,0,11620,0,23835,9901,0,20499,44468,0,0,50544,0,0
61,E007, Dayananda Sagar College of Engineering  Bangalore,CD,12185,66459,22246,14337,0,0,13396,0,37558,15564,0,0,11643,0,0,11288,0,17362,57878,0,0,64517,0,0
62,E007, Dayananda Sagar College of Engineering  Bangalore,CE,198071,0,0,191864,0,0,132942,0,0,151181,0,0,135768,0,0,122287,0,160994,168568,0,0,195737,0,0
63,E007, Dayananda Sagar College of Engineering  Bangalore,CH,88721,0,0,182295,0,0,117351,0,0,0,0,97069,120363,0,0,86010,0,136304,173826,0,0,0,0,0
64,E007, Dayananda Sagar College of Engineering  Bangalore,CS,7081,0,0,6434,8500,7818,7819,0,0,5047,0,6418,6098,0,6871,4424,7987,5914,23711,34430,31745,17034,32849,24935
65,E007, Dayananda Sagar College of Engineering  Bangalore,CY,10306,0,0,9575,0,11181,11825,0,0,8509,0,0,9986,22542,0,8195,0,10111,28870,0,75707,10880,0,0
66,E007, Dayananda Sagar College of Engineering  Bangalore,DS,8935,0,0,10975,0,13781,10709,0,0,7486,0,0,9582,0,0,7360,12872,11414,39173,0,58851,38403,0,0
67,E007, Dayananda Sagar College of Engineering  Bangalore,EC,20194,0,0,15524,18899,16983,21780,0,0,11946,0,16636,12079,0,18241,11067,18836,14255,49355,0,65011,51477,0,59056
68,E007, Dayananda Sagar College of Engineering  Bangalore,EE,0,0,0,39677,0,51891,37795,0,0,30643,0,0,33747,0,0,29591,33970,36159,88296,121669,116456,73584,0,86983
