,InstituteId,InstituteName,Institution,CourseName,Course,Location,City,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank,Category-1_min,Category-1_max,Category-2A_min,Category-2A_max,Category-2B_min,Category-2B_max,Category-3A_min,Category-3A_max,Category-3B_min,Category-3B_max,Category-GM_min,Category-GM_max,Category-SC_min,Category-SC_max,Category-ST_min,Category-ST_max
40,E006,M S Ramaiah Institute of Technology  Bangalore,M S Ramaiah Institute of Technology  Bangalore [E006],Artificial Intelligence And Data Science,Artificial Intelligence And Data Science [AD],"MSRIT Post,Bengaluru",Bengaluru,AD,7698,0,0,4955,0,0,9240,0,12649,4801,0,5810,5541,0,0,4594,13257,5634,25771,0,0,14563,0,0,9542,7698,7698,4955,4955,9240,12649,4801,5810,5541,5541,4594,13257,25771,25771,14563,14563
93,E009,P E S University (Ring Road Campus)  Bangalore,P E S University (Ring Road Campus)  Bangalore [E009],B TECH IN COMPUTER SCIENCE AND ENGINEERING,B TECH IN COMPUTER SCIENCE AND ENGINEERING [BW],"Banashankari, Bengaluru",Bengaluru,BW,3396,7536,4806,4139,6704,5546,5373,0,5664,1903,0,3481,2367,6210,4323,1643,4618,3246,18065,33986,28661,18416,22191,30839,10141,3396,7536,4139,6704,5373,5664,1903,3481,2367,6210,1643,4618,18065,33986,18416,30839
52,E006,M S Ramaiah Institute of Technology  Bangalore,M S Ramaiah Institute of Technology  Bangalore [E006],Information Science and Engineering,Information Science and Engineering [IE],"MSRIT Post,Bengaluru",Bengaluru,IE,4148,0,6008,3804,7429,4459,7184,0,0,2797,0,0,2808,0,4123,2634,4207,3260,18790,26006,31239,19085,0,33804,10693,4148,6008,3804,7429,7184,7184,2797,2797,2808,4123,2634,4207,18790,31239,19085,33804
47,E006,M S Ramaiah Institute of Technology  Bangalore,M S Ramaiah Institute of Technology  Bangalore [E006],Computer Science Engineering-Cyber Security,Computer Science Engineering-Cyber Security [CY],"MSRIT Post,Bengaluru",Bengaluru,CY,5448,0,0,5286,0,7262,5571,12323,0,5487,0,0,6464,0,0,4810,0,6414,28789,0,31038,0,0,0,10808,5448,5448,5286,7262,5571,12323,5487,5487,6464,6464,4810,6414,28789,31038,0,0
2,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Computers Science And Engineering,Computers Science And Engineering [CS],"KR Circle, Bengaluru",Bengaluru,CS,5809,0,0,5835,7296,6519,7166,0,12625,4749,0,5774,4889,0,5708,4344,6701,5402,20990,28206,29187,15475,16438,20958,11266,5809,5809,5835,7296,7166,12625,4749,5774,4889,5708,4344,6701,20990,29187,15475,20958
357,E057,JSS Science and Technology University(Formerly SJCE)  Mysore,JSS Science and Technology University(Formerly SJCE)  Mysore [E057],Computers Science And Engineering,Computers Science And Engineering [CS],"University Of Mysore Campus, Mysore",Mysore,CS,7101,0,0,6844,10860,8642,10198,0,0,4097,0,0,4714,0,4818,3525,4666,4636,19827,29926,30901,25402,0,0,11743,7101,7101,6844,10860,10198,10198,4097,4097,4714,4818,3525,4666,19827,30901,25402,25402
316,E048,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E048]",Artificial Intelligence And Data Science,Artificial Intelligence And Data Science [AD],"Basavanagudi,Bengaluru",Bengaluru,AD,4149,0,0,4037,0,0,0,0,0,0,0,0,5324,0,0,2911,10891,5092,26412,0,28184,32060,0,0,13228,4149,4149,4037,4037,0,0,0,0,5324,5324,2911,10891,26412,28184,32060,32060
1325,E241,KLE Technological University(Formerly BVBCET)  Dharward Dist,KLE Technological University(Formerly BVBCET)  Dharward Dist [E241],Computers Science And Engineering,Computers Science And Engineering [CS],Dharwad,Dharwad,CS,8816,0,12326,6696,7549,7390,9580,0,0,9369,0,12021,5389,7354,6293,4504,4937,6285,23210,28982,37001,24650,0,29981,13280,8816,12326,6696,7549,9580,9580,9369,12021,5389,7354,4504,6285,23210,37001,24650,29981
328,E048,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E048]",Information Science and Engineering,Information Science and Engineering [IE],"Basavanagudi,Bengaluru",Bengaluru,IE,3939,0,5781,4335,7993,5281,6438,0,8063,2301,0,4017,2792,0,3916,2034,6820,3819,22204,42821,35644,24825,48140,26984,13407,3939,5781,4335,7993,6438,8063,2301,4017,2792,3916,2034,6820,22204,42821,24825,48140
64,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Computers Science And Engineering,Computers Science And Engineering [CS],"Kumaraswamy Layout, Bengaluru",Bengaluru,CS,7081,0,0,6434,8500,7818,7819,0,0,5047,0,6418,6098,0,6871,4424,7987,5914,23711,34430,31745,17034,32849,24935,13617,7081,7081,6434,8500,7819,7819,5047,6418,6098,6871,4424,7987,23711,34430,17034,32849
151,E016,Siddaganga Institute of Technology  Tumkur,Siddaganga Institute of Technology  Tumkur [E016],Computers Science And Engineering,Computers Science And Engineering [CS],"Bangalore - Honnavar Rd,Tumakuru",Tumakuru,CS,7731,0,0,8986,9531,10679,12796,0,0,6911,0,0,6896,0,8294,5821,8226,6827,24932,25332,36785,19391,0,22544,13855,7731,7731,8986,10679,12796,12796,6911,6911,6896,8294,5821,8226,24932,36785,19391,22544
41,E006,M S Ramaiah Institute of Technology  Bangalore,M S Ramaiah Institute of Technology  Bangalore [E006],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"MSRIT Post,Bengaluru",Bengaluru,AI,0,0,0,5872,0,0,0,0,0,4368,0,0,0,0,0,4178,6501,7225,24283,0,34476,30605,0,0,14688,0,0,5872,5872,0,0,4368,4368,0,0,4178,7225,24283,34476,30605,30605
13,E003,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E003]",Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Basavanagudi, Bengaluru",Bengaluru,EC,5251,0,8613,6663,14821,8275,14769,0,0,4713,0,0,4420,0,0,3537,6227,6424,24731,47314,35545,30602,0,0,14793,5251,8613,6663,14821,14769,14769,4713,4713,4420,4420,3537,6424,24731,47314,30602,30602
48,E006,M S Ramaiah Institute of Technology  Bangalore,M S Ramaiah Institute of Technology  Bangalore [E006],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"MSRIT Post,Bengaluru",Bengaluru,EC,8547,0,0,9948,16698,11733,8311,0,0,6222,0,9126,6571,0,8561,5803,7271,7527,26082,37387,0,22235,0,45013,14814,8547,8547,9948,16698,8311,8311,6222,9126,6571,8561,5803,7527,26082,37387,22235,45013
5,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Information Science and Engineering,Information Science and Engineering [IE],"KR Circle, Bengaluru",Bengaluru,IE,8789,0,0,7228,0,8133,8098,0,0,5783,0,0,5808,0,0,5695,7193,6198,24284,31375,40322,24799,0,28919,15187,8789,8789,7228,8133,8098,8098,5783,5783,5808,5808,5695,7193,24284,40322,24799,28919
317,E048,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E048]",Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Basavanagudi,Bengaluru",Bengaluru,AI,6321,0,0,5072,11752,6336,7912,0,0,3742,0,5882,4209,0,6961,3607,11269,5436,26254,36796,45878,32443,0,38349,15189,6321,6321,5072,11752,7912,7912,3742,5882,4209,6961,3607,11269,26254,45878,32443,38349
178,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"University Of Mysore Campus, Mysore",Mysore,EC,11028,0,0,10204,0,11078,15242,0,0,8896,16374,0,7717,0,0,6351,11701,8619,28319,0,37113,18315,0,25684,15474,11028,11028,10204,11078,15242,15242,8896,16374,7717,7717,6351,11701,28319,37113,18315,25684
763,E126,"B M S Institute of Technology and Management  Yelahanka, Bangalore","B M S Institute of Technology and Management  Yelahanka, Bangalore [E126]",Computers Science And Engineering,Computers Science And Engineering [CS],"Yelahanka,Bengaluru",Bengaluru,CS,10028,0,0,7508,14341,11886,10873,0,11006,7229,0,8951,7983,9044,10061,6262,7796,8438,31208,36696,42431,23817,0,30905,15603,10028,10028,7508,14341,10873,11006,7229,8951,7983,10061,6262,8438,31208,42431,23817,30905
0,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"KR Circle, Bengaluru",Bengaluru,AI,10087,20801,0,9302,0,10041,12213,0,0,7188,0,0,7791,0,0,6935,7979,8653,26148,0,33645,24190,0,33807,15627,10087,20801,9302,10041,12213,12213,7188,7188,7791,7791,6935,8653,26148,33645,24190,33807
1056,E178,The National Institute of Engineering(NORTH CAMPUS)  Mysore,The National Institute of Engineering(NORTH CAMPUS)  Mysore [E178],Computers Science And Engineering,Computers Science And Engineering [CS],Mysore,Mysore,CS,13712,0,0,9335,12165,14118,13409,0,21429,7150,0,0,6355,11675,7314,5802,10825,7195,26663,37848,35540,27813,0,28632,16498,13712,13712,9335,14118,13409,21429,7150,7150,6355,11675,5802,10825,26663,37848,27813,28632
18,E004,Dr. Ambedkar Institute Of Technology  Bangalore,Dr. Ambedkar Institute Of Technology  Bangalore [E004],Computers Science And Engineering,Computers Science And Engineering [CS],"Near Gnana Bharathi, Bengaluru",Bengaluru,CS,10667,0,0,12279,0,13561,14601,0,0,12629,13444,0,11363,0,12039,10609,11124,11482,26488,0,32872,25706,0,29445,16553,10667,10667,12279,13561,14601,14601,12629,13444,11363,12039,10609,11482,26488,32872,25706,29445
78,E008,Bangalore Institute of Technology  Bangalore,Bangalore Institute of Technology  Bangalore [E008],Computers Science And Engineering,Computers Science And Engineering [CS],"Basavanagudi, Bengaluru",Bengaluru,CS,8862,0,10875,10449,12687,10950,10142,0,0,7311,0,8395,7483,0,8643,6708,8086,8380,30194,34685,31929,28628,34475,37440,16648,8862,10875,10449,12687,10142,10142,7311,8395,7483,8643,6708,8380,30194,34685,28628,37440
57,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Kumaraswamy Layout, Bengaluru",Bengaluru,AI,6889,0,17374,7868,0,0,10047,30777,26135,6671,0,0,0,0,0,5840,0,7724,30413,0,0,35218,0,0,16814,6889,17374,7868,7868,10047,30777,6671,6671,0,0,5840,7724,30413,30413,35218,35218
43,E006,M S Ramaiah Institute of Technology  Bangalore,M S Ramaiah Institute of Technology  Bangalore [E006],"Computer Science Engineering-AI, Machine Learning","Computer Science Engineering-AI, Machine Learning [CA]","MSRIT Post,Bengaluru",Bengaluru,CA,5890,0,0,5732,24380,6275,3675,0,0,3764,0,5229,3830,0,0,3342,7784,4131,27597,51451,46136,27833,0,42906,16872,5890,5890,5732,24380,3675,3675,3764,5229,3830,3830,3342,7784,27597,51451,27833,42906
360,E057,JSS Science and Technology University(Formerly SJCE)  Mysore,JSS Science and Technology University(Formerly SJCE)  Mysore [E057],Information Science and Engineering,Information Science and Engineering [IE],"University Of Mysore Campus, Mysore",Mysore,IE,7403,0,0,7011,0,9229,10421,0,0,4556,0,0,5200,0,0,4283,7411,5653,23940,0,36842,24693,0,76309,17150,7403,7403,7011,9229,10421,10421,4556,4556,5200,5200,4283,7411,23940,36842,24693,76309
72,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Information Science and Engineering,Information Science and Engineering [IE],"Kumaraswamy Layout, Bengaluru",Bengaluru,IE,8972,0,0,9383,13778,10280,10482,0,0,6875,0,0,8574,0,8933,6665,11255,7832,29150,37900,35989,31642,0,48268,17873,8972,8972,9383,13778,10482,10482,6875,6875,8574,8933,6665,11255,29150,37900,31642,48268
65,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Computer Science Engineering-Cyber Security,Computer Science Engineering-Cyber Security [CY],"Kumaraswamy Layout, Bengaluru",Bengaluru,CY,10306,0,0,9575,0,11181,11825,0,0,8509,0,0,9986,22542,0,8195,0,10111,28870,0,75707,10880,0,0,18140,10306,10306,9575,11181,11825,11825,8509,8509,9986,22542,8195,10111,28870,75707,10880,10880
79,E008,Bangalore Institute of Technology  Bangalore,Bangalore Institute of Technology  Bangalore [E008],Computer Science Engineering-Data Sciences,Computer Science Engineering-Data Sciences [DS],"Basavanagudi, Bengaluru",Bengaluru,DS,10587,0,14390,14240,0,0,13199,0,42229,11016,0,0,12567,0,0,10325,19877,0,36358,0,0,0,0,0,18478,10587,14390,14240,14240,13199,42229,11016,11016,12567,12567,10325,19877,36358,36358,0,0
156,E016,Siddaganga Institute of Technology  Tumkur,Siddaganga Institute of Technology  Tumkur [E016],Information Science and Engineering,Information Science and Engineering [IE],"Bangalore - Honnavar Rd,Tumakuru",Tumakuru,IE,13737,0,0,10977,0,11913,15324,0,0,9295,0,0,9149,0,11464,8952,10632,10666,32798,0,40399,36457,0,45470,19088,13737,13737,10977,11913,15324,15324,9295,9295,9149,11464,8952,10666,32798,40399,36457,45470
66,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Computer Science Engineering-Data Sciences,Computer Science Engineering-Data Sciences [DS],"Kumaraswamy Layout, Bengaluru",Bengaluru,DS,8935,0,0,10975,0,13781,10709,0,0,7486,0,0,9582,0,0,7360,12872,11414,39173,0,58851,38403,0,0,19128,8935,8935,10975,13781,10709,10709,7486,7486,9582,9582,7360,12872,39173,58851,38403,38403
323,E048,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E048]",Computer Science Engineering-Data Sciences,Computer Science Engineering-Data Sciences [DS],"Basavanagudi,Bengaluru",Bengaluru,DS,0,0,0,4416,0,0,5602,0,23178,2538,0,0,3433,0,0,2153,0,2571,28717,75390,0,25839,0,44413,19840,0,0,4416,4416,5602,23178,2538,2538,3433,3433,2153,2571,28717,75390,25839,44413
148,E016,Siddaganga Institute of Technology  Tumkur,Siddaganga Institute of Technology  Tumkur [E016],"Computer Science Engineering-AI, Machine Learning","Computer Science Engineering-AI, Machine Learning [CA]","Bangalore - Honnavar Rd,Tumakuru",Tumakuru,CA,16482,0,18705,11402,0,0,25555,0,33168,11990,0,0,10829,0,0,10658,0,12877,30445,0,0,38933,0,0,20094,16482,18705,11402,11402,25555,33168,11990,11990,10829,10829,10658,12877,30445,30445,38933,38933
324,E048,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E048]",Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Basavanagudi,Bengaluru",Bengaluru,EC,6743,0,0,9154,18553,11817,15525,0,0,5406,0,8568,7943,0,10661,5257,13689,8303,34132,51015,53359,37797,0,46180,20241,6743,6743,9154,18553,15525,15525,5406,8568,7943,10661,5257,13689,34132,53359,37797,46180
642,E105,Nitte Meenakshi Institutute of Technology  Bangalore,Nitte Meenakshi Institutute of Technology  Bangalore [E105],Computers Science And Engineering,Computers Science And Engineering [CS],"Yelahanka, Bengaluru",Bengaluru,CS,11617,0,16240,11798,14383,12277,15315,0,16375,9540,0,0,9109,0,0,8854,11036,9896,29566,42734,33834,31919,38598,42923,20334,11617,16240,11798,14383,15315,16375,9540,9540,9109,9109,8854,11036,29566,42734,31919,42923
351,E056,The National Institute of Engineering(SOUTH CAMPUS)  Mysore,The National Institute of Engineering(SOUTH CAMPUS)  Mysore [E056],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Manandavadi Road, Mysore",Mysore,EC,23151,0,23998,15629,0,0,17745,0,0,10865,0,0,11849,0,0,10764,13111,13817,47064,0,0,42117,0,0,20919,23151,23998,15629,15629,17745,17745,10865,10865,11849,11849,10764,13817,47064,47064,42117,42117
89,E009,P E S University (Ring Road Campus)  Bangalore,P E S University (Ring Road Campus)  Bangalore [E009],B TECH IN COMP SCI & ENGG (AI & ML),B TECH IN COMP SCI & ENGG (AI & ML) [AM],"Banashankari, Bengaluru",Bengaluru,AM,4951,0,0,5726,24225,7969,6962,67515,19717,3334,0,7222,4061,0,7080,2733,12214,5792,33639,40588,49932,43763,0,60671,21478,4951,4951,5726,24225,6962,67515,3334,7222,4061,7080,2733,12214,33639,49932,43763,60671
186,E022,The National Institute of Engineering(SOUTH CAMPUS)  Mysore,The National Institute of Engineering(SOUTH CAMPUS)  Mysore [E022],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"Mananthavadi Rd,Mysore",Mysore,EC,18620,0,0,13134,18091,13818,16244,0,0,10716,0,0,10179,0,17274,9732,16557,13512,36525,0,45242,25598,0,57649,21526,18620,18620,13134,18091,16244,16244,10716,10716,10179,17274,9732,16557,36525,45242,25598,57649
319,E048,"B M S College of Engineering  Basavanagudi,Bangalore","B M S College of Engineering  Basavanagudi,Bangalore [E048]",Computer Science and Business Systems,Computer Science and Business Systems [CB],"Basavanagudi,Bengaluru",Bengaluru,CB,7869,0,0,6943,0,15454,0,67780,0,8980,0,0,7697,0,0,4539,0,9115,40638,0,0,46824,0,0,21583,7869,7869,6943,15454,67780,67780,8980,8980,7697,7697,4539,9115,40638,40638,46824,46824
76,E008,Bangalore Institute of Technology  Bangalore,Bangalore Institute of Technology  Bangalore [E008],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Basavanagudi, Bengaluru",Bengaluru,AI,0,0,0,9468,0,14356,0,0,0,9959,23188,0,9117,0,0,8627,0,11392,38381,0,50262,43873,0,0,21862,0,0,9468,14356,0,0,9959,23188,9117,9117,8627,11392,38381,50262,43873,43873
33,E005,R. V. College of Engineering  Bangalore,R. V. College of Engineering  Bangalore [E005],Electrical And Electronics Engineering,Electrical And Electronics Engineering [EE],"Mysuru Rd,Bengaluru",Bengaluru,EE,0,0,24901,7726,0,0,19769,0,34415,0,0,0,6093,0,0,6013,14314,7131,15930,80801,0,25162,0,0,22023,24901,24901,7726,7726,19769,34415,0,0,6093,6093,6013,14314,15930,80801,25162,25162
355,E057,JSS Science and Technology University(Formerly SJCE)  Mysore,JSS Science and Technology University(Formerly SJCE)  Mysore [E057],Computer Science and Business Systems,Computer Science and Business Systems [CB],"University Of Mysore Campus, Mysore",Mysore,CB,0,0,25742,14324,0,0,20154,0,0,6607,0,0,11670,0,0,6012,17390,9853,41597,0,75442,16966,0,0,22341,25742,25742,14324,14324,20154,20154,6607,6607,11670,11670,6012,17390,41597,75442,16966,16966
725,E118,RNS Institute of Technology  Bangalore,RNS Institute of Technology  Bangalore [E118],Computers Science And Engineering,Computers Science And Engineering [CS],"RR Nagar, Bengaluru",Bengaluru,CS,12527,0,14655,11783,13969,14256,18460,0,0,10594,0,12889,10516,0,12825,9112,12454,11987,37140,43442,45664,38911,47829,47025,22423,12527,14655,11783,14256,18460,18460,10594,12889,10516,12825,9112,12454,37140,45664,38911,47829
3,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Electronics and Communication Engineering,Electronics and Communication Engineering [EC],"KR Circle, Bengaluru",Bengaluru,EC,15177,0,18548,14878,15407,16522,21600,0,0,10997,0,12440,10574,0,14664,9878,14864,11936,33658,46591,47113,37482,0,52570,22494,15177,18548,14878,16522,21600,21600,10997,12440,10574,14664,9878,14864,33658,47113,37482,52570
146,E016,Siddaganga Institute of Technology  Tumkur,Siddaganga Institute of Technology  Tumkur [E016],Artificial Intelligence And Data Science,Artificial Intelligence And Data Science [AD],"Bangalore - Honnavar Rd,Tumakuru",Tumakuru,AD,22999,0,0,12672,0,17133,15231,0,0,13425,0,0,11606,0,0,11265,19100,11949,32495,0,79620,0,0,0,22499,22999,22999,12672,17133,15231,15231,13425,13425,11606,11606,11265,19100,32495,79620,0,0
251,E037,K.L.S. Gogte Institute of Technology  Belgaum,K.L.S. Gogte Institute of Technology  Belgaum [E037],Computers Science And Engineering,Computers Science And Engineering [CS],"Udyambag, Belgaum",Belgaum,CS,16170,0,0,12919,13643,13982,20323,0,0,13528,0,0,11186,0,14306,10633,12667,13314,37794,39755,50139,31101,0,59394,23178,16170,16170,12919,13982,20323,20323,13528,13528,11186,14306,10633,13314,37794,50139,31101,59394
835,E141,P E S University (Electronic City Campus)  Bangalore,P E S University (Electronic City Campus)  Bangalore [E141],B TECH IN COMP SCI & ENGG (AI & ML),B TECH IN COMP SCI & ENGG (AI & ML) [AM],"Electronic city,Bengaluru",Bengaluru,AM,0,0,0,10404,0,17519,14541,0,36558,7386,0,12764,9345,0,0,6707,15568,12345,40772,0,62625,58645,0,0,23475,0,0,10404,17519,14541,36558,7386,12764,9345,9345,6707,15568,40772,62625,58645,58645
113,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Computers Science And Engineering,Computers Science And Engineering [CS],"Hunasemaranahalli,Bengaluru",Bengaluru,CS,14995,0,0,14832,19262,16872,17299,0,0,14017,0,0,15065,0,16126,13629,14669,15839,37542,49525,49893,35529,0,39361,24028,14995,14995,14832,19262,17299,17299,14017,14017,15065,16126,13629,15839,37542,49893,35529,39361
385,E060,"Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore","Dr. Ambedkar Institute Of Technology  Jnanabharathi Campus,Bangalore [E060]",Computers Science And Engineering,Computers Science And Engineering [CS],"Jnanabharathi Campus, Bengaluru",Bengaluru,CS,15533,0,0,18720,0,20307,26444,0,0,14926,0,0,15416,0,0,14803,19847,16030,35430,0,46135,33953,0,39250,24368,15533,15533,18720,20307,26444,26444,14926,14926,15416,15416,14803,19847,35430,46135,33953,39250
110,E012,"Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore, [E012]",Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Hunasemaranahalli,Bengaluru",Bengaluru,AI,21699,0,0,22896,26111,0,28584,0,0,16996,0,21508,20071,0,0,16922,20276,19430,45684,0,0,37779,0,0,24829,21699,21699,22896,26111,28584,28584,16996,21508,20071,20071,16922,20276,45684,45684,37779,37779
