,InstituteId,InstituteName,Institution,CourseName,Course,Location,City,BranchCode,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,AvgCutoffRank
763,E126,"B M S Institute of Technology and Management  Yelahanka, Bangalore","B M S Institute of Technology and Management  Yelahanka, Bangalore [E126]",Computers Science And Engineering,Computers Science And Engineering [CS],"Yelahanka,Bengaluru",Bengaluru,CS,10028,0,0,7508,14341,11886,10873,0,11006,7229,0,8951,7983,9044,10061,6262,7796,8438,31208,36696,42431,23817,0,30905,15603
0,E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ) [E001],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"KR Circle, Bengaluru",Bengaluru,AI,10087,20801,0,9302,0,10041,12213,0,0,7188,0,0,7791,0,0,6935,7979,8653,26148,0,33645,24190,0,33807,15627
1056,E178,The National Institute of Engineering(NORTH CAMPUS)  Mysore,The National Institute of Engineering(NORTH CAMPUS)  Mysore [E178],Computers Science And Engineering,Computers Science And Engineering [CS],Mysore,Mysore,CS,13712,0,0,9335,12165,14118,13409,0,21429,7150,0,0,6355,11675,7314,5802,10825,7195,26663,37848,35540,27813,0,28632,16498
18,E004,Dr. Ambedkar Institute Of Technology  Bangalore,Dr. Ambedkar Institute Of Technology  Bangalore [E004],Computers Science And Engineering,Computers Science And Engineering [CS],"Near Gnana Bharathi, Bengaluru",Bengaluru,CS,10667,0,0,12279,0,13561,14601,0,0,12629,13444,0,11363,0,12039,10609,11124,11482,26488,0,32872,25706,0,29445,16553
78,E008,Bangalore Institute of Technology  Bangalore,Bangalore Institute of Technology  Bangalore [E008],Computers Science And Engineering,Computers Science And Engineering [CS],"Basavanagudi, Bengaluru",Bengaluru,CS,8862,0,10875,10449,12687,10950,10142,0,0,7311,0,8395,7483,0,8643,6708,8086,8380,30194,34685,31929,28628,34475,37440,16648
57,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning [AI],"Kumaraswamy Layout, Bengaluru",Bengaluru,AI,6889,0,17374,7868,0,0,10047,30777,26135,6671,0,0,0,0,0,5840,0,7724,30413,0,0,35218,0,0,16814
43,E006,M S Ramaiah Institute of Technology  Bangalore,M S Ramaiah Institute of Technology  Bangalore [E006],"Computer Science Engineering-AI, Machine Learning","Computer Science Engineering-AI, Machine Learning [CA]","MSRIT Post,Bengaluru",Bengaluru,CA,5890,0,0,5732,24380,6275,3675,0,0,3764,0,5229,3830,0,0,3342,7784,4131,27597,51451,46136,27833,0,42906,16872
360,E057,JSS Science and Technology University(Formerly SJCE)  Mysore,JSS Science and Technology University(Formerly SJCE)  Mysore [E057],Information Science and Engineering,Information Science and Engineering [IE],"University Of Mysore Campus, Mysore",Mysore,IE,7403,0,0,7011,0,9229,10421,0,0,4556,0,0,5200,0,0,4283,7411,5653,23940,0,36842,24693,0,76309,17150
72,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Information Science and Engineering,Information Science and Engineering [IE],"Kumaraswamy Layout, Bengaluru",Bengaluru,IE,8972,0,0,9383,13778,10280,10482,0,0,6875,0,0,8574,0,8933,6665,11255,7832,29150,37900,35989,31642,0,48268,17873
65,E007,Dayananda Sagar College of Engineering  Bangalore,Dayananda Sagar College of Engineering  Bangalore [E007],Computer Science Engineering-Cyber Security,Computer Science Engineering-Cyber Security [CY],"Kumaraswamy Layout, Bengaluru",Bengaluru,CY,10306,0,0,9575,0,11181,11825,0,0,8509,0,0,9986,22542,0,8195,0,10111,28870,0,75707,10880,0,0,18140
79,E008,Bangalore Institute of Technology  Bangalore,Bangalore Institute of Technology  Bangalore [E008],Computer Science Engineering-Data Sciences,Computer Science Engineering-Data Sciences [DS],"Basavanagudi, Bengaluru",Bengaluru,DS,10587,0,14390,14240,0,0,13199,0,42229,11016,0,0,12567,0,0,10325,19877,0,36358,0,0,0,0,0,18478
